Designator,Mid X,Mid Y,Layer,Rotation
C1, 97.79, 48.26,Top, 0.00
C3, 64.77, 44.45,Top, 180.00
C4, 77.47, 44.45,Top, 180.00
C5, 40.64, 48.26,Top, 90.00
C6, 91.44, 48.26,Top, 270.00
C7, 43.18, 30.48,Top, 270.00
D1, 99.06, 26.67,Top, 0.00
I2EXT1, 64.77, 39.37,Top, 270.00
I2EXT2, 77.47, 39.37,Top, 270.00
MCP23017_1, 27.30, 52.07,Top, 0.00
MCP23017_2, 78.11, 52.07,Top, 0.00
R1, 92.71, 62.23,Top, 90.00
R10, 62.23, 62.23,Top, 90.00
R11, 54.61, 62.23,Top, 90.00
R12, 50.80, 62.23,Top, 90.00
R13, 99.06, 19.05,Top, 180.00
R14, 99.06, 22.86,Top, 180.00
R15, 46.99, 62.23,Top, 90.00
R16, 43.18, 62.23,Top, 90.00
R17, 39.37, 62.23,Top, 90.00
R18, 35.56, 62.23,Top, 90.00
R19, 31.75, 62.23,Top, 90.00
R2, 88.90, 62.23,Top, 90.00
R20, 27.94, 62.23,Top, 90.00
R21, 24.13, 62.23,Top, 90.00
R22, 20.32, 62.23,Top, 90.00
R23, 16.51, 62.23,Top, 90.00
R24, 99.06, 30.48,Top, 180.00
R25, 99.06, 38.10,Top, 0.00
R26, 99.06, 59.69,Top, 0.00
R27, 99.06, 34.29,Top, 0.00
R28, 99.06, 55.88,Top, 0.00
R29, 99.06, 52.07,Top, 0.00
R3, 85.09, 62.23,Top, 90.00
R30, 77.47, 17.78,Top, 270.00
R31, 81.28, 17.78,Top, 270.00
R32, 64.77, 17.78,Top, 270.00
R33, 68.58, 17.78,Top, 270.00
R34, 91.44, 54.61,Top, 90.00
R35, 40.64, 54.61,Top, 90.00
R4, 81.28, 62.23,Top, 90.00
R5, 77.47, 62.23,Top, 90.00
R6, 73.66, 62.23,Top, 90.00
R7, 69.85, 62.23,Top, 90.00
R8, 66.04, 62.23,Top, 90.00
R9, 58.42, 62.23,Top, 90.00
